InstanceID,N,K,B,OptimalMakespan,LS_MaxGroupSum,LS_Time(us),LPT_MaxGroupSum,LPT_Time(us),MULTIFIT_MaxGroupSum,MULTIFIT_Time(us)
114,10,3,8,20,29,8,20,8,20,0
115,13,3,8,15,21,10,15,10,15,0
116,7,3,8,17,26,6,18,6,18,0
117,8,3,8,12,14,6,12,8,12,0
118,6,3,8,10,15,5,10,6,10,0
119,12,3,8,15,16,9,15,10,15,0
120,12,3,8,14,18,8,14,9,14,0
121,24,3,16,1552,1586,16,1552,20,1552,0
122,23,3,16,1221,1552,15,1222,18,1222,0
123,19,3,16,1177,1295,13,1178,16,1178,0
124,20,3,16,1034,1569,14,1034,16,1034,0
125,21,3,16,119,127,14,119,16,119,0
126,33,3,16,1931,2226,22,1931,24,1931,0
127,21,3,16,1455,1791,14,1455,17,1455,0
128,25,3,16,1539,2318,16,1539,19,1539,0
129,17,3,16,161,199,12,161,14,161,0
130,17,3,16,205,210,12,205,14,205,0
131,21,3,16,348,460,14,348,35,348,0
132,24,3,16,1841,2314,16,1855,20,1855,0
133,27,3,16,1493,1549,17,1493,21,1493,0
134,18,3,16,1076,1330,12,1077,15,1077,0
135,17,3,16,275,328,12,275,14,275,0
136,21,3,16,1521,1815,13,1537,17,1537,0
137,27,3,16,2129,2812,17,2129,20,2129,0
138,19,3,16,392,513,13,392,15,392,0
139,13,3,16,134,142,9,134,11,134,0
140,21,3,16,657,1002,14,658,29,658,0
141,24,3,16,1851,1957,15,1851,18,1851,0
142,27,3,16,2080,2539,18,2080,20,2080,0
143,27,3,16,1192,1757,17,1192,21,1192,0
144,15,3,16,620,651,10,620,12,620,0
145,16,3,16,78,93,12,79,13,79,0
146,23,3,16,615,665,15,615,18,615,0
147,25,3,16,1969,2315,16,1970,19,1970,0
148,22,3,16,1130,1266,14,1130,17,1130,0
149,22,3,16,1122,1482,14,1122,16,1122,0
150,19,3,16,1676,1917,12,1676,15,1676,0
151,25,3,20,2391,2572,16,2391,20,2391,0
152,32,3,20,16870,17202,20,16870,24,16870,0
153,29,3,20,17151,24101,18,17151,23,17151,0
154,22,3,20,14323,16624,14,14323,18,14323,0
155,18,3,20,7627,8223,12,7630,15,7630,0
156,41,3,20,20206,28867,25,20206,32,20206,0
157,39,3,20,27805,32387,23,27806,30,27806,0
158,25,3,20,20909,22890,28,20944,19,20944,0
159,34,3,20,20898,22387,21,20898,25,20898,0
160,23,3,20,3387,4038,15,3425,18,3425,0
161,27,3,20,15908,22310,17,15909,20,15909,0
162,25,3,20,14511,20892,15,14514,20,14514,0
163,27,3,20,11102,16140,17,11121,20,11121,0
164,25,3,20,1040,1134,16,1040,19,1040,0
165,27,3,20,5188,5444,17,5194,21,5194,0
166,29,3,20,34623,39004,18,34631,22,34631,0
167,27,3,20,25165,25327,17,25167,20,25167,0
168,37,3,20,5626,6112,22,5626,27,5626,0
169,35,3,20,25256,29884,21,25256,26,25256,0
170,36,3,20,7020,9076,22,7020,27,7020,0
171,25,3,20,13749,18446,16,13750,19,13750,0
172,25,3,20,23572,24291,17,23572,19,23572,0
173,28,3,20,14495,20684,18,14501,22,14501,0
174,34,3,20,28725,28818,21,28727,26,28727,0
175,31,3,20,12941,17109,20,12941,24,12941,0
176,41,3,20,30016,30042,24,30016,29,30016,0
177,26,3,20,33134,42146,16,33134,21,33134,0
178,30,3,20,17566,18100,18,17567,22,17567,0
179,26,3,20,9134,12415,16,9135,20,9135,0
180,26,3,20,8325,11169,16,8325,20,8325,0
181,15,4,8,20,32,26,20,13,20,0
182,16,4,8,15,16,12,15,14,15,0
183,15,4,8,14,19,12,14,13,14,0
184,15,4,8,16,20,11,16,12,16,0
185,17,4,8,16,24,13,16,15,16,0
186,18,4,8,18,24,13,18,16,18,0
187,10,4,8,12,17,8,12,9,12,0
188,13,4,8,14,16,10,14,11,14,0
189,10,4,8,20,29,8,20,9,20,0
190,16,4,8,15,19,12,15,71,15,0
191,14,4,8,18,26,11,18,13,18,0
192,13,4,8,20,30,10,20,12,20,0
193,15,4,8,10,13,11,10,13,10,0
194,10,4,8,11,16,8,11,9,11,0
195,13,4,8,17,23,10,17,11,17,0
196,16,4,8,10,13,12,10,14,10,0
197,15,4,8,15,21,11,15,13,15,0
198,14,4,8,15,19,11,15,12,15,0
199,13,4,8,13,15,10,13,12,13,0
200,16,4,8,16,22,11,16,14,16,0
201,13,4,8,11,12,10,11,11,11,0
202,17,4,8,16,22,12,16,15,16,0
203,17,4,8,18,20,12,18,14,18,0
204,20,4,8,16,17,14,16,16,16,0
205,13,4,8,15,23,10,15,11,15,0
