Metaheuristic,NumRunsDetected,AvgAvgGap_pct,AvgBestGap_pct,AvgBestSolFreq,TotalOptimalHits,UniqueInstancesOptimal,AvgTime_us,MaxExecutionTime_us,MinExecutionTime_us,MaxOptimalHitsInRun,MinOptimalHitsInRun,MaxDeviationInRun_pct,MinDeviationInRun_pct
Genetic,5,0.18666433847964686,0.06066458212525934,3.857471264367816,6197,1391,2500.1479310344826,17168.0,146.0,1253,1223,7.2655449158686904,0.0
SA,5,0.15017637906611475,0.06525431466133504,3.924137931034483,6071,1327,759.137816091954,2331.0,352.0,1221,1201,10.062790291321535,0.0
IG,5,0.07704295348510988,0.031182398552713993,4.192528735632184,6913,1530,666.277816091954,4092.0,18.0,1395,1372,10.062790291321535,0.0
