Algoritmo,Média Erro (%),Mediana Erro (%),Desvio Padrão (%),Erro Mínimo (%),Erro Máximo (%),Soluções Ótimas,Tempo Médio (us),Tempo Máx (us),Tempo Mín (us)
LS,11.365877816882719,8.809005628517824,10.40222372019083,0.0,58.56573705179283,165,5.767619047619047,31,1
LPT,1.2945464441061783,0.036482236876343506,2.066376493341105,0.0,15.238095238095237,519,6.154285714285714,245,1
MultiFit,0.5871871822636286,0.0,1.0331385318459232,0.0,9.039385305341549,575,40.18952380952381,456,9
CGA,0.0,0.0,0.0,0.0,0.0,1050,58391.40095238095,4475122,2
