Metaheuristic,NumRunsDetected,AvgAvgGap_pct,AvgBestGap_pct,AvgBestSolFreq,TotalOptimalHits,UniqueInstancesOptimal,AvgTime_us,MaxExecutionTime_us,MinExecutionTime_us,MaxOptimalHitsInRun,MinOptimalHitsInRun,MaxDeviationInRun_pct,MinDeviationInRun_pct
Genetic,5,0.3342240804278066,0.15785788606369527,3.9764367816091952,5790,1295,1651.6558620689655,20531.0,116.0,1167,1148,10.0,0.0
SA,5,0.2396388038742006,0.11049928204312187,4.083333333333333,5861,1275,709.341264367816,2985.0,353.0,1175,1166,6.896551724137931,0.0
IG,5,0.09254140563748382,0.032335029771374514,4.401724137931034,7404,1621,510.71275862068967,5160.0,17.0,1492,1469,8.92018779342723,0.0
