Algoritmo,Média Erro (%),Mediana Erro (%),Desvio Padrão (%),Erro Mínimo (%),Erro Máximo (%),Soluções Ótimas,Tempo Médio (us),Tempo Máx (us),Tempo Mín (us)
LS,19.11587134855145,16.666666666666668,14.950302634827187,0.0,68.18181818181819,110,6.78,157,1
LPT,0.7605914082516926,0.0,1.6910384866763033,0.0,13.333333333333334,609,6.885714285714286,57,1
MultiFit,0.5126374295871866,0.0,0.8166563073676288,0.0,5.405405405405405,536,47.90190476190476,515,10
CGA,0.0,0.0,0.0,0.0,0.0,1050,1168.0914285714287,140600,2
