Algoritmo,Média Erro (%),Mediana Erro (%),Desvio Padrão (%),Erro Mínimo (%),Erro Máximo (%),Soluções Ótimas,Tempo Médio (ms),Tempo Máx (ms),Tempo Mín (ms)
LS,21.738381991379754,18.82860317914292,19.206996830369167,0.0,74.17065267705601,445,19.65111111111111,246,5
LPT,0.3631922991552709,0.0,1.1251009414896533,0.0,11.64833795445341,1708,21.568,462,5
MultiFit,0.4846099107705172,0.5259292538817256,0.6419702616930814,0.0,10.0,1011,152.24266666666668,791,26
