Algoritmo,Média Erro (%),Mediana Erro (%),Desvio Padrão (%),Erro Mínimo (%),Erro Máximo (%),Soluções Ótimas (instâncias),Tempo Médio (us),Tempo Máx (us),Tempo Mín (us)
LS,20.960098694324607,19.047619047619047,16.242187390674903,0.0,68.12585499316006,185.0,6.876436781609195,450.0,1.0
LPT,0.8170090608830698,0.0,1.78535331173727,0.0,16.666666666666668,976.0,6.818965517241379,107.0,1.0
MultiFit,0.5491768035139618,0.22241556414782887,0.8667993143434286,0.0,7.762360537718795,819.0,55.070689655172416,491.0,9.0
Genetic (Média),0.33422408042780666,0.0,0.8302858088872296,0.0,8.181818181818183,1158.0,1651.6558620689657,10119.6,118.4
SA (Média),0.23963880387420064,0.0,0.5871282146995601,0.0,5.367020670624423,1172.2,709.3412643678162,2066.0,358.6
IG (Média),0.0925414056374838,0.0,0.4431689015133337,0.0,8.92018779342723,1480.8,510.7127586206896,4261.6,17.6
