Algoritmo,Média Erro (%),Mediana Erro (%),Desvio Padrão (%),Erro Mínimo (%),Erro Máximo (%),Soluções Ótimas (instâncias),Tempo Médio (us),Tempo Máx (us),Tempo Mín (us)
LS,11.89853679803375,8.698108572832227,11.411730521233785,0.0,60.0,280.0,9.683908045977011,519.0,3.0
LPT,1.2492693173711442,0.0,2.041292287421536,0.0,11.680213514497149,880.0,7.767816091954023,170.0,2.0
MultiFit,0.5709746526202892,0.0,1.0266152710810577,0.0,8.876622727467474,926.0,54.186206896551724,533.0,6.0
Genetic (Média),0.18597398568910864,0.0,0.5284160932156476,0.0,6.666666666666667,1234.6,2574.106666666667,10531.2,158.0
SA (Média),0.1495437657151967,0.0,0.45688005676289445,0.0,10.062790291321535,1222.4,787.8413793103448,2215.8,375.4
IG (Média),0.05824170906627266,0.0,0.3640081536564886,0.0,10.062790291321535,1540.4,187947.5981609195,200190.0,19.4
